Postal Code,municipality
1450,SAINT-GERY
4120,ROTHEUX-RIMIERE
4651,HERVE
6030,MARCHIENNE-AU-PONT
1150,WOLUWE-SAINT-PIERRE
9400,Ninove
6850,PALISEUL
6767,HARNONCOURT
1050,IXELLES
5646,STAVE
4653,BOLLAND
7608,WIERS
3746,Bilzen
7180,SENEFFE
6140,FONTAINE-L'EVEQUE
4731,Raeren
9170,Sint-Gillis-Waas
2550,Kontich
3550,Heusden-Zolder
4684,HACCOURT
1501,Halle
7021,HAVRE
2050,Antwerpen
5360,NATOYE
8755,Ruiselede
6672,BEHO
8680,Koekelare
3950,Bocholt
4761,Bullange
7740,PECQ
6590,MOMIGNIES
1831,Machelen
3668,As
2470,Retie
9340,Lede
1310,LA HULPE
5363,EMPTINNE
4990,LIERNEUX
8420,De Haan
6536,THUILLIES
2300,Turnhout
6181,GOUY-LEZ-PIETON
7080,EUGIES
2980,Zoersel
6075,FLEURUS
8431,Middelkerke
7640,MAUBRAY
3793,Voeren
3832,Wellen
6929,GEMBES
6661,MONT
2280,Grobbendonk
1500,Halle
5060,AUVELAIS
3071,Kortenberg
3722,Kortessem
3910,Pelt
3150,Haacht
9000,Gent
6032,MONT-SUR-MARCHIENNE
6717,ATTERT
9270,Laarne
6250,AISEAU
5190,MOUSTIER
4730,Raeren
6543,BIENNE-LEZ-HAPPART
3770,Riemst
1650,Beersel
4821,ANDRIMONT
6462,VAULX
4987,STOUMONT
2243,Zandhoven
3321,Hoegaarden
3454,Geetbets
9920,Lievegem
6044,ROUX
5000,NAMUR
3742,Bilzen
5332,CRUPET
3390,Tielt-Winge
8433,Middelkerke
1200,WOLUWE-SAINT-LAMBERT
8810,Lichtervelde
6142,LEERNES
5150,FLOREFFE
9570,Lierde
6530,THUIN
3806,Sint-Truiden
9290,Berlare
4780,Saint-Vith
2290,Vorselaar
5562,CUSTINNE
5330,MAILLEN
1370,JODOIGNE
9040,Gent
9990,Maldegem
7500,TOURNAI
6838,CORBION
1083,GANSHOREN
9240,Zele
1560,Hoeilaart
7350,MONTROEUL-SUR-HAINE
6750,MUSSON
7610,RUMES
3190,Boortmeerbeek
1472,VIEUX-GENAPPE
5541,HASTIERE-PAR-DELA
6223,WAGNELEE
7950,CHIEVRES
2530,Boechout
9200,Dendermonde
4287,LINCENT
8691,Alveringem
2811,Mechelen
1402,THINES
4845,SART
2820,Bonheiden
3461,Bekkevoort
4252,OMAL
3221,Holsbeek
6900,WAHA
1081,KOEKELBERG
3270,Scherpenheuvel-Zichem
9406,Ninove
8650,Houthulst
1348,OTTIGNIES
8956,Heuvelland
5021,BONINNE
3020,Herent
2812,Mechelen
5543,HEER
6141,FORCHIES-LA-MARCHE
2030,Antwerpen
3803,Sint-Truiden
5572,FOCANT
2382,Ravels
7322,VILLE-POMMEROEUL
3090,Overijse
9620,Zottegem
7300,BOUSSU
3900,Pelt
2140,Antwerpen
5003,SAINT-MARC
4650,GRAND-RECHAIN
5530,DURNAL
1390,ARCHENNES
2260,Westerlo
8581,Avelgem
4701,Eupen
6820,FLORENVILLE
1008,BRUXELLES
8760,Meulebeke
6698,GRAND-HALLEUX
6950,NASSOGNE
6640,NIVES
2242,Zandhoven
4040,HERSTAL
9820,Merelbeke
6686,FLAMIERGE
9571,Lierde
2950,Kapellen
1400,NIVELLES
1212,SAINT-JOSSE-TEN-NOODE
7520,TEMPLEUVE
9991,Maldegem
3110,Rotselaar
6180,COURCELLES
1367,GEEST-GEROMPONT-PETIT-ROSIERE
9551,Herzele
4121,NEUVILLE-EN-CONDROZ
5590,LEIGNON
4711,Lontzen
1044,SCHAERBEEK
6690,PETIT-THIER
7543,MOURCOURT
3600,Genk
9940,Evergem
6832,SENSENRUTH
1380,LASNE-CHAPELLE-SAINT-LAMBERT
5660,COUVIN
7501,ORCQ
6980,BEAUSAINT
3798,Voeren
8552,Zwevegem
7742,HERINNES
2328,Hoogstraten
5351,HAILLOT
3740,Bilzen
3582,Beringen
3724,Kortessem
2990,Wuustwezel
6511,STREE
8978,Poperinge
8000,Brugge
9230,Wetteren
3700,Tongeren
6530,LEERS-ET-FOSTEAU
1702,Dilbeek
3040,Huldenberg
4453,VILLERS-SAINT-SIMEON
6666,WIBRIN
2322,Minderhout
9260,Wichelen
6723,HABAY-LA-VIEILLE
8690,Alveringem
6830,ROCHEHAUT
1049,EVERE
8972,Poperinge
8951,Heuvelland
3272,Scherpenheuvel-Zichem
3201,Aarschot
3080,Tervuren
4351,HODEIGE
4654,CHARNEUX
6463,LOMPRET
7534,MAULDE
6940,GRANDHAN
4610,QUEUE-DU-BOIS
3200,Aarschot
7533,THIMOUGIES
1755,Gooik
2160,Wommelgem
8210,Zedelgem
9830,Sint-Martens-Latem
7943,GAGES
4650,CHAINEUX
7972,ELLIGNIES-SAINTE-ANNE
1730,Asse
3078,Kortenberg
6706,AUTELBAS
2801,Mechelen
4960,BEVERCE
3630,Maasmechelen
5651,GOURDINNE
2440,Geel
7618,TAINTIGNIES
4861,SOIRON
4652,XHENDELESSE
4030,GRIVEGNEE
6742,CHANTEMELLE
1600,Sint-Pieters-Leeuw
2920,Kalmthout
3440,Zoutleeuw
2222,Heist-op-den-Berg
9030,Gent
7803,ATH
1070,ANDERLECHT
7800,ATH
6600,WARDIN
6813,TERMES
1700,Dilbeek
3830,Wellen
3670,Oudsbergen
7332,SIRAULT
5576,FROIDFONTAINE
1457,WALHAIN-SAINT-PAUL
2200,Herentals
7010,MAISIERES
3732,Hoeselt
1850,Grimbergen
7783,PLOEGSTEERT
3720,Kortessem
3381,Glabbeek
7730,ESTAIMBOURG
7812,VILLERS-SAINT-AMAND
8957,Mesen
8890,Moorslede
7743,OBIGIES
1430,REBECQ-ROGNON
4633,MELEN
4601,ARGENTEAU
5542,BLAIMONT
8750,Wingene
7134,RESSAIX
4300,WAREMME
